title,album,release_year,lyrics
"Питер, чай, не Франция","Питер, чай, не Франция",2020,Забить и до станций бежать Как быть иностранцам А ждать да тошно видели танцы И жаль то то что Питер не Франция А черви не пицца и паста Да и ты не Летиция Каста Ой да что ты говоришь Белый первый третий Рим и второй Париж Этот город дышит И мне не оченьто родной И мне его не перенять и даже не пережить И так хочется мне чтонибудь родное Сзади нежно приобнять и сразу же придушить Оно плачет и жуёт меня Оно радуется плачет и жуёт меня Будто язва на живот но я Холю моё грязное животное Хула небесам хвала металлургическим заводам И так меня давит излишне всё но во мне Его полюса как почти что свобода Мой Иерихон что зиждется на Неве Ракеты полетели сопла как Звездопад отлив рек и потеют облака Ещё чуть и несложно понять Когда отходят воды рождается чтонибудь И нам бы лучше угадать что Забить и до станций бежать Как быть иностранцам А ждать да тошно видели танцы И жаль то то что Питер не Франция Забить и до станций бежать Как быть иностранцам А ждать да тошно видели танцы И жаль то то что Питер не Франция Не смотреть не дышать не стоять не бежать не садиться окрашено Не смотреть не дышать не стоять не бежать не садиться окрашено Не смотреть не дышать не стоять не бежать не садиться окрашено Не смотреть не дышать ать ать Любят две богини наблюдать И даже кажется что им не наплевать Да но далеко они маячат И солнце и луна как силиконовые мячики Делать прыгскок По каменному небу надо делать прыгскок И пока мне не до этого То копоть и смог Как ногами парапеты перешагивает Туча комаров Где никто бы не смог Не то чтобы жить а дышать И не то что дышать даже гнить И каюсь что даже не жаль Вкус металла куда ни шагни И ты чем привык тем дыши И выбросывыкидыши Пуповинамитрубами нити смотри Чай не Франция Питер внутри закрытый гнойник Забить и до станций бежать Как быть иностранцам А ждать да тошно видели танцы И жаль то то что Питер не Франция Забить и до станций бежать Как быть иностранцам А ждать да тошно видели танцы И жаль то то что Питер не Франция Питер не Франция Питер не Франция Питер нe Франция
videoGames Over,Терновый венец эволюции,2017,Проиграю но мне честно не страшно Нет сохранений но готов рискнуть я всем что есть так что Сыграем в видеоигры сыграем в видеоигры Мы играем уже столько лет но финиш не видно Без толку всё как о стену Значит я хакну систему Я хакну систему я хакну систему Без толку всё как о стену Значит я хакну систему Обещаю я както смогу если так не пройти то я хакну игру Правилам наперекор Я ломаю игру это новый рекорд И не всё то чем кажется в этом прикол И принцесса есть этот самый дракон По мне уже плачет палата Мой смелый герой уже дышит на ладан И вышел на схватку с нетленной судьбой С отупевшей катаной и ржавыми латами Марафон наша олимпиада Я амфетамин ты мой амфитеатр И мы из разных миров но ты гдето рядом Локации края не видно и мы на лезвии бритвы Вместе сыграем с тобой опять в эти видеоигры Я устало жду и мне бы полюбить Но там зайдет моя звезда Когдато в небе 8битном и Пройдем мы от корки до корки Вселенных немерено как Рик и Морти Идем на рекорды нам всё равно где мы Я в щепки ломаю четвертую стену Без толку всё как о стену Значит я хакну систему Я хакну систему я хакну систему Без толку всё как о стену Значит я хакну систему Обещаю я както смогу если так не пройти то я хакну игру Без толку всё как о стену Значит я хакну систему Я хакну систему я хакну систему Без толку всё как о стену Значит я хакну систему Обещаю я както смогу если так не пройти то я хакну игру Сохраниться никак В моих пьяных руках загорится геймпад И мы скачем устало от уровня к уровню И как закончить пока не придумали Но жар не утихнет и вскоре Мы станем легендой Утиных историй Меня никогда никто не остановит Пьянее чем панда быстрее чем соник Опасней чем Клайд и хитрее чем Бони Я вмазан как Элли на маковом поле И нету правил Ты в замке как Зельда а я в нём как Марио И куда бы судьба не звала Мне дорога мала и как вечность безвеременна И как Алиса в своих зеркалах ты желанней Чем Джанк и кошмар будто Керриган Не кончается трафик Сюжет наше всё и не главное графика Реальность смешна от нее убежать И предать бы анафеме И умчимся скорей В тридевятое царство на пиксельный рейв Не работает маркер И нас не найти никак на миникарте А давай сбежим туда где нас не тронут И в последний раз играем в подземелье и драконов и Добрался до башни герой А на самой верхушки пылает консоль Это финиш и лишь одни шаг до конца Но ты вместо жмешь Х и я снова на старт Без толку всё как о стену Значит я хакну систему Я хакну систему я хакну систему Без толку всё как о стену Значит я хакну систему Обещаю я както смогу если так не пройти то я хакну игру Без толку всё как о стену Значит я хакну систему Я хакну систему я хакну систему Без толку всё как о стену Значит я хакну систему Обещаю я както смогу если так не пройти то я хакну игру Проиграю но мне честно не страшно Нет сохранений но готов рискнуть я всем что есть так что Сыграем в видеоигры сыграем в видеоигры Мы играем уже столько лет но финиш не видно
радуга земного тяготения,геометрия тьмы,2022,Эй Артурчик давай те Барабаны да побольше бы минорчика в бите Хотя плакать это так себе затея Тут надо бы поработать но мёртвые не потеют мёртвые не потеют И на всё это воля чья Видит Бог мы с тобою два сходящихся луча На нас нету теорем да мы два луча У нас интерференция но мне индифферентно И не до дифирамбов у нас не будет похорон И мы годимся только чтоб смешить ворон И притягивать как пугалище бед Целый ворох и мы ждём но только будущего нет его нет И я рюкзак навьючу И двину не спеша туда где граффити на гараже No future Но даже после грехопадения Остаётся радуга земного тяготения Эти все мои песнопения Одна тьма но только на самом деле Оставляют за собой вместо тени Мою радугу земного тяготения Моя радуга земного тяготения Моя радуга земного тяготения И ликует детвора Как мир война стара Но только мраку сегодня не победить Эти все мои песнопения Одна тьма но только на самом деле Оставляют за собой вместо тени Мою радугу земного тяготения Моя радуга земного тяготения Моя радуга земного тяготения И ликует детвора Как мир война стара Но только мраку сегодня не победить Эй Артурчик добавь басов Море тёплое погода кайф песок Но как в колбе не бежит и только умиротворение Что кажется у пляжа бесконечно много времени Но давайте быть честны Не нормально Это пляж а мне в нём чудятся песочные часы Песочек и часы Песочек и часы Да отдохни я ощущаю как трещит дихотомия Но мангальчик задымит Я помню как погас и так же помню каждый уходящий миг Но мной каждый был воспет Через темноту внутри я осмысляю окружающий нас свет Отражающий всю суть Отражающий но в смысле отводящий ото глаз и Как горящий кластер Это совпадение Совместное падение Но что для радуги земное тяготение Эти все мои песнопения Одна тьма но только на самом деле Оставляют за собой вместо тени Мою радугу земного тяготения Моя радуга земного тяготения Моя радуга земного тяготения И ликует детвора Как мир война стара Но только мраку сегодня не победить Эти все мои песнопения Одна тьма но только на самом деле Оставляют за собой вместо тени Мою радугу земного тяготения Моя радуга земного тяготения Моя радуга земного тяготения И ликует детвора Как мир война стара Но только мраку сегодня не победить Это любовь это любовь этo любовь это любовь
докучные сказки докучные сказки докучные,геометрия тьмы,2022,У попа была собака Поп собаку так любил Его когдато просто так Будто собаку погубил Неухоженный прохожий Запах рвоты и мочи Взгляд порожен его рожи Нету цели и причин У собаки нет попа Грозя он лясы не точил Что убьёт за кусок мяса Не успел не замочил Теперь знает не тупа Её чешу под ухо я У собаки нет попа Но зато мяса дохуя Гдето протекает речка Через речку видно мост На мосту стоит овечка У овцы рога и хвост Как скакалку раскачала Хвост натянутый как трос Может рассказать сначала Хохоча Да не вопрос Гдето протекает речка Через речку видно мост Под мостом ничто не вечно Утекает под откос Начиная от причала Но та речка речка Стикс Рассказать тебе сначала Точка Y точка X Ехал грека через реку Видит грека в реке гроб И коли век у человека Лишь один судьбины рок Сунул грека руку в реку Реку боли реку зла Бафомета видит грека То скелета то козла Чучеломяучело на трубе сидело Скрючило и вспучило не скорби по телу Чучелумяучелу жизнь давно наскучила Чучеломяучело хотело оно хотело тело Чучелумяучелу наскучило смотри Люди и до кучи даже слушать mp3 Чучеломяучало испугано ввиду чего Мыслило весь ужас энтропии Десять негритят Пошли купаться в море Десять негритят Купаться в море горя Один из них утоп Свезло ведь Азатот Других всех погрузил в пучину хтони Девять негритят Одни в пучине хтони Девять негритят И каждый тихо стонет Дагон и ЙогСотот И с ними Азатот Безумие на негритят нагонят
Как Сатурн пожирает своих детей,МОЯ МИЛАЯ ПУСТОТА,2019,Мой друг в грязь ладоши И ты тоже как не мой рук Но не станет моложе Не станется чище Тени тянут ручища И воруют детей из снов В колыбели подбросив им Вместо детей стариков Они плачут от страха опять Они мочат пелёнки и давят прыщи И кажется муха способна застрять в паутине морщин Их не отличить от ребёнка Как тогда оно хочет играть Но роль поменялась давно ещё Туктук я взглянул под кровать И меня испугалось чудовище Раз два три четыре пять Не пора ли Значит я иду искать И всё как в детстве Только пара правок в правила подметим Есть одна жизнь кто плохо прятался тот съеден Хахаха Никто тепла не дарит только лампа на стене И над кроваткой планетарий Чудовища из фигур оживают Под ними тень гасит звёзды И так Сатурн пожирает своих детей И рождает в них тьму И в ней Никто тепла не дарит только лампа на стене И над кроваткой планетарий Чудовища из фигур оживают Под ними тень гасит звёзды И так Сатурн пожирает своих детей И рождает в них тьму Когда я был маленьким Меня часто пугали То что если буду плохо вести себя Буду один до конца своих дней И когда я был маленьким Часто меня в наказание ставили в угол И там со временем так я завёл в темноте Много маленьких странных друзей Я прислоню к стене ладони И к ним тянут лапы тени Пытаясь меня душить Но со временем кто больше и те кто злей Не пугал а тех что слабее заставил со мной дружить Но теперь они все боятся меня Монстры из детской они боятся меня Старый мир сплетённый из текстур Где даже тени оживали но теперь звёзды гаснут Так Сатурн пожирает своих детей Так рождается тьма Никто тепла не дарит только лампа на стене И над кроваткой планетарий Чудовища из фигур оживают Под ними тень гасит звёзды И так Сатурн пожирает своих детей И рождает в них тьму И в ней Никто тепла не дарит только лампа на стене И над кроваткой планетарий Чудовища из фигур оживают Под ними тень гасит звёзды И так Сатурн пожирает своих детей И рождает в них тьму
Вечный двигатель,вырезки из журналов,2018,Мне взболтать но не смешивать не смешить и не тешить Мы идеальная пара я без эмоций а ты без одежды Я звёзды хватал с потолка влочив одеяло по полу Я маленький Наполеон и не мог бы никак подругому Но треснула маска я за столько лет сам себя научил Разделять но не властвовать Видеть опасность и делать шаг не навстречу Мы дети что переиграли в песочницы Делая то что для нас безупречным бы стало Я чувствую мир как ребенок лизнувший качели на холоде Им конечно не понять то что я вечный естествоиспытатель Я стал им без повода Страдая взамен получив больше чем потерял Это вечная боль это вечное топливо вечного двигателя Внутри это сердце Смотри это зеркало Отразив миллионы лучей коль нечем согреться Просто я им смогу сымитировать Солнце Только помни как не было холодно И чтобы ты не терял это вечная боль Это вечное топливо вечного двигателя Это вечный огонь Это то что стучит вопреки И внутри у тебя это вечная боль Это топливо твоего вечного двигателя Ты только помни Как не было холодно И чтобы ты не терял это вечная боль Это вечное топливо вечного двигателя Это вечный огонь Это то что стучит вопреки И внутри у тебя это вечная боль Это топливо твоего вечного двигателя Ты только помни Мне взболтать но не смешивать не смешить и не тешить Мы идеальная пара я закрытый за шторами а ты прикована к батареям Теряюсь на дне е*анутого города где я Просыпаюсь под вечер И в этом платье ты была на асфальте так безупречна Как бриллиантами сыпят на нас не желая понять Словом ранят Цветы лучше пуль Но они увядают как мысли о будущем Мысли о детстве и смерти сравнивал Столько разного можно построить из LEGO в детстве А сейчас просто серая масса И от безделья глупый поток Из идей поколению в каплях абсента Помни сколько было намешано В нас горел Вечный Огонь И мы засыпали в разных постелях Сейчас мы свели расстояния в ноль У тебя малокровие с низким давлением Я гипертоник помешанный на алкоголе Мы сможем отсюда выбраться Только верь мне только помни Как бы не было холодно И чтобы ты не терял это вечная боль Это вечное топливо вечного двигателя Это вечный огонь Это то что стучит вопреки И внутри у тебя это вечная боль Это топливо твоего вечного двигателя Ты только помни Как бы не было холодно И чтобы ты не терял это вечная боль Это вечное топливо вечного двигателя Это вечный огонь Это то что стучит вопреки И внутри у тебя это вечная боль Это топливо твоего вечного двигателя Ты только помни Внутри меня четыре камеры И я называю их твоим именем Руки печатали настолько быстро Как капли на улице при сильном ливне Знаю как выбраться Дай же мне руку И ты мне сама поможешь согреться Я и не знал что столько боли Может хранить в себе моё сердце
Моя девочка софт-гранж,акустический,2019,В руках сигарета В трамвай без билета Школу к чёрту и в пыли тетрадь на полке Моя девочка дрейфует мимо улиц на скейтборде Наушники и плеер кассетный Плевать что потом мама отругает за септум Живёт моментом её будущее хлам И жуёт так сексуально свой вишневый бабль гам амамам Дебошир и скандалистка В её плеере Нирвана Фараон и прыгай киска Пара тяг и звук гитары все что нужно И плевать что будет дальше потомучто моя девочка софтгранж Вооу она слушает Кобейна и крутит блант Потомучто моя девочка софтгранж Вооу носит шузы модной марки красит волосы Ведь просто моя девочка софтгранж Вооу она слушает Кобейна и крутит блант Потомучто моя девочка софтгранж Вооу носит шузы модной марки красит волосы Ведь просто моя девочка софтгранж Моя девочка софтгранж моя девочка софтгранж Вооу моя девочка софтгранж Моя девочка софтгранж моя девочка софтгранж Сигарету так пафосно крутит На ключицах 2 домашние татухи Кеды все стираются об пол И в кармане пачка марльборо голд Пишет гадости на парте На уроках только твиттер или тамблер А на стиле рок звезда и в ней юности весна И в желудке алкоголь А остальное ей до лампы Из 80х её блузка Она любит современное искусство По поведению ей даже 17 не дашь Просто мама извини но моя девочка софт гранж Вооу она слушает Кобейна и крутит блант Потомучто моя девочка софтгранж Вооу носит шузы модной марки красит волосы Ведь просто моя девочка софтгранж Вооу она слушает Кобейна и крутит блант Потомучто моя девочка софтгранж Вооу носит шузы модной марки красит волосы Ведь просто моя девочка софтгранж Моя девочка софтгранж моя девочка софтгранж Вооу моя девочка софтгранж Моя девочка софтгранж моя девочка софтгранж
Bruuuuli,Пижама с динозаврами,2021,Бьётся сердечко и обжигаются губы И я сияю как брюли я засияю как брюли Мои follower'ыlover'ы и тебя затянули И я сияю как брюли я засияю как брюли не надо спать Бьётся сердечко и обжигаются губы И я сияю как брюли я засияю как брюли Мои follower'ыlover'ы и тебя затянули И я сияю как брюли я засияю как брюли не надо спать Вот моё дерьмо теперь ебись с этим вот оно блядь Хоть записывай на диске или кассете понял Я влетаю в дверь с ноги чтобы это всё спеть И всё спеть и так чтобы калитку им снесло с петель прямо с двух ног блядь Светят брюлики как семицветик как ёбаная лампа Тут так ярко даже кажется слепых слепит как кварцевая блядь Я бухаю после выхожу на бис с этим Бис с этим вот моё дерьмо теперь ебись с этим Бьётся сердечко и обжигаются губы И я сияю как брюли я засияю как брюли Мои follower'ыlover'ы и тебя затянули И я сияю как брюли я засияю как брюли не надо спать Бьётся сердечко и обжигаются губы И я сияю как брюли я засияю как брюли Мои follower'ыlover'ы и тебя затянули И я сияю как брюли я засияю как брюли не надо спать Серафим 17 пошлый у меня 12 кошек Они выглядят как Beyoncé ии качают свою жопу ё Вы в дырявых кроссах и мяукаете носом Вы хотите быть как мы но пососите lollipop Мы ебёмся и нам светят лишь гирлянды из бриллиантов Миллиарды миллиардов тонны бабок и фанаты Кто твой трахарь или папа мне до лампы Ты мне пьяному дала бы сука под феназепамом это правда Бьётся сердечко и обжигаются губы И я сияю как брюли я засияю как брюли Мои follower'ыlover'ы и тебя затянули И я сияю как брюли я засияю как брюли не надо спать Бьётся сердечко и обжигаются губы И я сияю как брюли я засияю как брюли Мои follower'ыlover'ы и тебя затянули И я сияю как брюли я засияю кaк брюли нe надо спать
геометрия тьмы,геометрия тьмы,2022,С пути сбился и ослeп Мне ктото выключил в конце тоннеля свет И я по метру от стены Наощупь постепенно постигаю геометрию тьмы Это много больше чем вся пустота Это сумма всех углов и с ними чувств Без периметра и площади проста Без предела и я погашу свечу встав у зеркала в темноте Это дверка прямо на ту сторону Где по меркам тел на поверку ты мгла ты прут Урод и квадрат тороид ты дырка игла не врут Формы фигур ты жалость ты ревность ты гиперкуб Ты ненависть и обида Ромб или пирамида Штаники Пифагора Похабие Парменида Время гипотенуза Катет любовь смерть Катет и по доске Катится шар в лузу Моя геометрия тьмы Такою не видал Лобачевский Такую избегал бы Евклид А темнота нам благоволит А темнота нам благоволит Моя геометрия тьмы Такою не видал Лобачевский Такую избегал бы Евклид А темнота нам благоволит А темнота нам благоволит Я часто путаю местами Где теперь дом где мой ром где гарем Никому не говори воронадура neveremore Никогда я источник бесконечных теорем бесконечных теорем Гипотенуза и два катета Время любовь и смерть нормали не отыскать Эти чудовища углы вот сумбур а Угол это рай предмета угол это часть суперфигуры Триедин и треуголен он причём Старейший среди богов не согласный с собой ни в чём Как будто бы три слона Нет как будто три черепахи Старее чем слова и язык и ни амфибрахий ни хорей ни даже ямб Не напишут не опишут не помыслят по размеру Не получится всё зря И короче говоря как бы сказать Что короче говоря такой длины не описать описать Моя геометрия тьмы Такою не видал Лобачевский Такую избегал бы Евклид А темнота нам благоволит А темнота нам благоволит Моя геометрия тьмы Такою не видал Лобачевский Такую избегал бы Евклид А темнота нам благоволит А темнота нам благоволит Моя геометрия тьмы Такою не видал Лобачевский Избегал бы Евклид А темнота нам благоволит А темнота нам благоволит
новогодняя,новогодняя,2023,У географа нет глобуса Давно не едет нужный мне номер автобуса Как ни пытаюсь никак не поймаю фокус Человечество это большой попит в форме Амогуса А Бог жирными пальцами от курочки Кентукки Шарики цветные ковыряет Хочу пнуть эту резиновую дрянь Выбирать не просто Святой дух отец и сын один из них это импостер И из раза в раз ты задаёшь вопрос Кто сильнее чем Христос И кто древней чем зороастры В чём мастерство пера Я пьяный в доски затираю первокурснице про Апокалипсис Петра Макабрически как Гоголь Феноменально как Гегель И фундаментально как стандартная модель А зима седая шаль Снежную накинула на город Я в окно смотрю и созерцаю даль Тебе дети корчат рожицы родная Я пустое место ты пустое множество Рыдаю над могилками Рыгаю новогодними салатами На чёрный лёд Как плитки шоколада Старые гробы Тебе дети корчат рожицы родная Я пустое место ты пустое множество Рыдаю над могилками Рыгаю новогодними Салатами На чёрный лёд Как плитки шоколада Старые гробы Время не трать не жди Кто ищет счастье тот крепко держит лопату А местные дети не любят играть в снежки И не умеют лепить снежную бабу С подарками будет жопа Уехал Дед Мороз Туда где гамарджоба я синий как медный купорос Куда синей чем Аватар Какой ещё путь воды Я будто в лодке качаюсь петляя путями водки Сверну в тёмную подворотню Заводя эту песенку новогоднюю Но поскользнувшись падая нырнуть Умудрился головою на холодные трубы и так уснуть И снежная пудрочка неуклюже Падает на меня а на утречко обнаружит За ночь заваленное сугробами до верха Пьяное моё тело сотрудница ЖКХ И я кричу то что в Ад холодный больше ни ногой Друзья не поймут и скажут что ад это про огонь А как по мне так вполне себе преисподняя Зимняя депрессия песенка новогодняя Тебе дети корчат рожицы родная Я пустое место ты пустое множество Рыдаю над могилками Рыгаю новогодними Салатами На чёрный лёд Как плитки шоколада Старые гробы Тебе дети корчат рожицы родная Я пустое место ты пустое множество Рыдаю над могилками Рыгаю новогодними Салатами На чёрный лёд Как плитки шоколада Старые гробы
люблю грозу в начале мая,геометрия тьмы,2022,Люблю грозу в начале мая В апреле чтоб выпал снег в это время что выбил свет Через клубни бетонных туч голубь глуп но зато летуч За скорлупою ооцит намечается пивной пyтч Подмигни мне я знаю ключ но не видит никто игру лица Звёзды моргнут и небо снесёт их как яйца курица Капает кран так вот И взаправду любить грозу может только тот у кого стоит дома громоотвод дома громоотвод Люблю грозу в начале мая Грызу себя не понимая И бьёт гром прямо в дом Мой дым с уходящей весной подымая Люблю грозу в начале мая Грызу себя не понимая И бьёт гром прямо в дом Мой дым с уходящей весной подымая Капает кран так вот Полюбить грозу может тот у кого есть громоотвод Или кто не боится молнии той что увы видать Не получится оседлать даже выложись ты на полную На полную катушку Тесла Мы сушим вёсла ощущать получается лишь телесно Гасится интерес хоть Бодрийяр хоть Жиль Делёз С юных лет был вагон идей но всё поезд жаль не довёз Грязь в рот я перо пропил И меня больше не прельщают красоты природных сил Их есенинская похабщина пошлость Он что тупой Скажи Тоже мне заметался пожаришка голубой Заметался да только в урну и совок Это дурно он рудимент Орёт бур из дыр бьёт исток Пятна нефти вокруг и мент Берёт едва новорождённого Христа В уста Всё горит дадим пламени хвороста А тушить проблема детей Люблю грозу в начале мая Грызу себя не понимая И бьёт гром прямо в дом Мой дым с уходящей весной подымая Люблю грозу в начале мая Грызу себя не понимая И бьёт гром прямо в дом Мой дым с уходящей весной подымая Люблю грозу в начале мая Грызу себя не понимая И бьёт гром прямо в дом Мой дым с уходящей весной подымая
море волнуется,море волнуется,2019,Ход парусам Где та одинокая русалка и там Видел как догорала по глазам Ты знал для чего на дне коралловые замки Это дабы уберечь её но Сердце ещё бьёт хотя давно обречено И целый океан в её руках но для чего Ей все маломаломало в этом нету ничего Ничего хоть даже капельки родного Разочарование одно и выплыть не дано И найдёт в этом свой конец или в другом Везде тюрьма Одно и тоже ей дворец или дурдом И до боли ненавистный океан И не желает отпускать никак тоска Смотрит на закат со скал И верит что когдато её выбросит на берег Если море волнуется раз значит она ещё верит И море волнуется два и русалка всё ищет свой берег Но как не крути море волнуется три и не важно кем быть И рожденные ползать плавать летать плевать Хоть как Научите ходить Если море волнуется раз значит она ещё верит И море волнуется два и русалка всё ищет свой берег Но как не крути море волнуется три и так просто забыть Что рожденные ползать плавать летать плевать Никак Не могут ходить Удача это навык и влюбленный и пленённый капитан За розою ветров от огромных берегов до Окинавы И что прячут эти тайны океана И опять поднимая якоря И мечтая покорить себе моря Что ушел по воде навсегда всем сказал бы А сам на дно но На дно к своей русалке Но не понимает что даже если всётаки умрёт Она мечтает то ли покорить Хотя бы метр земли И заметно что ей это море ну не более чем клетка И оставить в глубинах покоющих Дно и в пучинах дворцы и сокровища Всё готова океан позабыть забыть Только научите ходить а Если море волнуется раз значит она ещё верит И море волнуется два и русалка всё ищет свой берег Но как не крути море волнуется три и не важно кем быть И рожденные ползать плавать летать плевать Хоть как научите ходить Если море волнуется раз значит она ещё верит И море волнуется два и русалка всё ищет свой берег Но как не крути море волнуется три и так просто забыть Что рожденные ползать плавать летать плевать Никак не могут ходить
Вечно 17,Burn to Die,2015,Пью первую третью пятую Взрослые мне говорят тормози А я под плеядами звезд Признался что не вывозил эту жизнь Покажи мне где радость на лицах людей Что по офисам банкам И сколько б не ехал в даль и закат за мечтой Все равно у меня меж колесами палка Прошу помолчи Сколько прошел на пути к бесконечному лету Но вечно весна в одиночной И вечно иду по остывшему следу за юностью И сколько исследовать буду по дурости Наш океан и пытаться И пытаться вернуть ну хотя бы на миг наше вечно 17 Вечно 17 Вечно 17 Верни мои вечно 17 Я устал ожидать устал сожалеть И устал сомневаться Верни мои вечно 17 Вечно 17 Верни мои вечно 17 Я устал ожидать устал сожалеть И устал сомневаться Верни мои вечно 17 Вечно 17 Верни мои вечно 17 Я устал ожидать устал сожалеть И устал сомневаться И верни мои вечно 17 Вечно 17 Верни мои вечно 17 Я устал ожидать устал сожалеть И устал сомневаться Не будь ко мне снова жестока прекрасно далеко Я был там вернулся ни с чем Снова вернулся в обитель крылатых качель И зачем ты хочешь быть взрослым Наркотики секс алкоголь Но я был там я знаю Там только лишь грустная простынь На небе нет звезд и все монстры Вылезли из под кровати И стали как тень и не хватит И сотни крестов их изгнать Это то что является частью тебя А ты гаснущий факел И пора бы прощаться Но я умоляю верни мне еще на мгновение вечно 17 Вечно 17 Вечно 17 Верни мои вечно 17 Я устал ожидать устал сожалеть И устал сомневаться Верни мои вечно 17 Вечно 17 Верни мои вечно 17 Я устал ожидать устал сожалеть И устал сомневаться Верни мои вечно 17 Вечно 17
